Sort Order,Day of week,Time of day,Pool Name,Address,Area,Swim Type,Reservation Required?,URL
3,Wednesday,08:30 - 09:30,Splash Wave Pool,2040 Ogilvie Road,East,Aquafit general - deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/splash-wave-pool
3,Wednesday,08:30 - 09:30,Walter Baker Sports Centre,100 Malvern Drive,West - Barrhaven,Aquafit general - shallow,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/walter-baker-sports-centre
3,Wednesday,08:30 - 09:30,Nepean Sportsplex,1701 Woodroffe Avenue,West - Nepean,Aquafit - general shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/nepean-sportsplex
3,Wednesday,08:30 - 09:30,Nepean Sportsplex,1701 Woodroffe Avenue,West - Nepean,Aquafit - general deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/nepean-sportsplex
3,Wednesday,08:30 - 09:30,Pinecrest Recreation Complex,2250 Torquay Avenue,West - Nepean,Aqua General - Shallow,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/pinecrest-recreation-complex
3,Wednesday,08:30 - 09:30,Pinecrest Recreation Complex,2250 Torquay Avenue,West - Nepean,Aqua General - Deep,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/pinecrest-recreation-complex
3,Wednesday,08:30 - 10:30,Richcraft Recreation Complex-Kanata,4101 Innovation Drive,West - Kanata,Preschool swim,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/richcraft-recreation-complex-kanata
3,Wednesday,08:30 - 13:00,Nepean Sportsplex,1701 Woodroffe Avenue,West - Nepean,Lane swim - 50m long course,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/nepean-sportsplex
3,Wednesday,08:30 - 13:00,Richcraft Recreation Complex-Kanata,4101 Innovation Drive,West - Kanata,Lane Swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/richcraft-recreation-complex-kanata
3,Wednesday,08:30 - 15:00,Minto Recreation Complex - Barrhaven,3500 Cambrian Road,West - Barrhaven,Lane swim – reduced capacity (shared pool),No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/minto-recreation-complex-barrhaven
3,Wednesday,08:35 - 09:30,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,West - Stittsville,Aqua general - Shallow/Deep combo,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
3,Wednesday,09:00 - 10:00,Sawmill Creek Community Centre and Pool,3380 D’Aoust Avenue,South,Aquafit general deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/sawmill-creek-community-centre-and-pool
3,Wednesday,09:00 - 10:00,Sawmill Creek Community Centre and Pool,3380 D’Aoust Avenue,South,Aquafit general shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/sawmill-creek-community-centre-and-pool
3,Wednesday,09:00 - 10:00,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,East - Orleans,Aqua general - deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
3,Wednesday,09:00 - 10:00,Canterbury Recreation Complex,2185 Arch Street,South,Aquafit general,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/canterbury-recreation-complex
3,Wednesday,09:00 - 10:00,Plant Recreation Centre,930 Somerset Street West,Central,Aquafit general - shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/plant-recreation-centre
3,Wednesday,09:00 - 10:00,Plant Recreation Centre,930 Somerset Street West,Central,Aquafit general - deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/plant-recreation-centre
3,Wednesday,09:00 - 11:30,Plant Recreation Centre,930 Somerset Street West,Central,Lane swim - reduced capacity,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/plant-recreation-centre
3,Wednesday,09:00 - 13:00,Ray Friel Recreation Complex,1585 Tenth Line Road,East - Orleans,Lane Swim,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/ray-friel-recreation-complex
3,Wednesday,09:15 - 13:30,St. Laurent Complex,525 Côté Street,East - Vanier,Lane swim,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/st-laurent-complex
3,Wednesday,09:30 - 10:25,François Dupuis Recreation Centre,2263 Portobello Boulevard,East - Orleans,Aqua Lite,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/francois-dupuis-recreation-centre
3,Wednesday,09:30 - 10:30,Minto Recreation Complex - Barrhaven,3500 Cambrian Road,West - Barrhaven,Aquafit - general,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/minto-recreation-complex-barrhaven
3,Wednesday,09:30 - 10:30,François Dupuis Recreation Centre,2263 Portobello Boulevard,East - Orleans,Lane Swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/francois-dupuis-recreation-centre
3,Wednesday,09:30 - 10:30,Splash Wave Pool,2040 Ogilvie Road,East,Aquafit general - shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/splash-wave-pool
3,Wednesday,09:30 - 10:30,Walter Baker Sports Centre,100 Malvern Drive,West - Barrhaven,Aquafit general - deep,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/walter-baker-sports-centre
3,Wednesday,09:30 - 10:30,Nepean Sportsplex,1701 Woodroffe Avenue,West - Nepean,Aqualite - 25m pool,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/nepean-sportsplex
3,Wednesday,09:30 - 10:30,Pinecrest Recreation Complex,2250 Torquay Avenue,West - Nepean,Aqua General - Shallow,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/pinecrest-recreation-complex
3,Wednesday,09:30 - 10:30,Pinecrest Recreation Complex,2250 Torquay Avenue,West - Nepean,Aqua General - Deep,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/pinecrest-recreation-complex
3,Wednesday,09:30 - 13:00,Splash Wave Pool,2040 Ogilvie Road,East,Lane swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/splash-wave-pool
3,Wednesday,09:30 - 13:00,Splash Wave Pool,2040 Ogilvie Road,East,Public swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/splash-wave-pool
3,Wednesday,09:35 - 10:30,Brewer Pool,100 Brewer Way,South,Aquafit general - Shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/brewer-pool-and-arena
3,Wednesday,09:35 - 10:30,Brewer Pool,100 Brewer Way,South,Aquafit general - Deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/brewer-pool-and-arena
3,Wednesday,09:35 - 10:30,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,West - Stittsville,Aqua general - Shallow/Deep combo,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/cardelrec-recreation-complex-goulbourn
3,Wednesday,10:00 - 11:00,Lowertown Community Centre and Pool,40 Cobourg Street,Central,50+ Vitality ,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/lowertown-community-centre-and-pool
3,Wednesday,10:00 - 11:00,Sawmill Creek Community Centre and Pool,3380 D’Aoust Avenue,South,Aquafit general deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/sawmill-creek-community-centre-and-pool
3,Wednesday,10:00 - 11:00,Sawmill Creek Community Centre and Pool,3380 D’Aoust Avenue,South,Aquafit general shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/sawmill-creek-community-centre-and-pool
3,Wednesday,10:00 - 11:00,Canterbury Recreation Complex,2185 Arch Street,South,Lane swim,TBD,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/canterbury-recreation-complex
3,Wednesday,10:00 - 11:00,Plant Recreation Centre,930 Somerset Street West,Central,Aquafit general - shallow,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/plant-recreation-centre
3,Wednesday,10:00 - 11:00,Plant Recreation Centre,930 Somerset Street West,Central,Aquafit general - deep,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/plant-recreation-centre
3,Wednesday,10:00 - 13:00,Bob MacQuarrie Recreation Complex - Orléans,1490 Youville Drive,East - Orleans,Lane swim,No,https://ottawa.ca/en/recreation-and-parks/facilities/place-listing/bob-macquarrie-recreation-complex-orleans
